iter	Passed	Remaining
0	1	104
1	1	95
2	2	95
3	3	88
4	4	87
5	5	86
6	6	84
7	7	83
8	8	82
9	9	81
10	9	80
11	11	80
12	11	79
13	12	78
14	13	78
15	14	76
16	15	75
17	16	74
18	17	73
19	18	72
20	18	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	26	63
29	27	63
30	27	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	34	54
39	35	53
40	36	52
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	45
49	44	44
50	44	43
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	34
61	54	33
62	55	32
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	24
72	65	24
73	66	23
74	67	22
75	68	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	85	3
96	87	2
97	87	1
98	88	0
99	89	0
